region;pop
Алтайский край;2115308
Амурская обл.;750083
Архангельская обл.;998072
Астраханская обл.;946429
Белгородская обл.;1500659
Брянская обл.;1142404
Владимирская обл.;1309942
Волгоградская обл.;2453898
Вологодская обл.;1121343
Воронежская обл.;2273417
Еврейская АО;145802
Забайкальский край;984395
Ивановская обл.;905900
Иркутская обл.;2330537
Кабардино-Балкарская Республика;905464
Калининградская обл.;1033914
Калужская обл.;1068410
Камчатский край;288947
Карачаево-Черкесская Республика;468322
Кемеровская обл. - Кузбасс;2547684
Кировская обл.;1129935
Костромская обл.;566266
Краснодарский край;5833002
Красноярский край;2846120
Курганская обл.;753002
Курская обл.;1060892
Ленинградская обл.;2035762
Липецкая обл.;1116265
Магаданская обл.;133387
Московская обл.;8651260
Мурманская обл.;656438
Ненецкий АО;42224
Нижегородская обл.;3060335
Новгородская обл.;571447
Новосибирская обл.;2789532
Омская обл.;1818093
Оренбургская обл.;1828656
Орловская обл.;692486
Пензенская обл.;1236113
Пермский край;2495266
Приморский край;1806393
Псковская обл.;581147
Республика Адыгея (Адыгея);500591
Республика Алтай;210765
Республика Башкортостан;4064361
Республика Бурятия;971922
Республика Дагестан;323224
Республика Ингушетия;527220
Республика Калмыкия;266770
Республика Карелия;523856
Республика Коми;720610
Республика Крым;1909499
Республика Марий Эл;669854
Республика Мордовия;765891
Республика Саха (Якутия);1001664
Республика Северная Осетия - Алания;678879
Республика Татарстан (Татарстан);4003016
Республика Тыва;337544
Республика Хакасия;528175
Ростовская обл.;4152518
Рязанская обл.;1082231
Самарская обл.;3127842
Саратовская обл.;2385163
Сахалинская обл.;457590
Свердловская обл.;4222695
Смоленская обл.;863987
Ставропольский край;2886108
Тамбовская обл.;956292
Тверская обл.;1199747
Томская обл.;1043385
Тульская обл.;1471140
Тюменская обл.;1615454
Удмуртская Республика;1434557
Ульяновская обл.;1172782
Хабаровский край;1278132
Ханты-Мансийский АО - Югра;1759386
Челябинская обл.;3395798
Чеченская Республика;1552866
Чувашская Республика - Чувашия;1167061
Чукотский АО;48029
Ямало-Ненецкий АО;515960
Ярославская обл.;1187558
г. Москва;13149803
г. Санкт-Петербург;5597763
город федерального значения Севастополь;561374
